City	Apple Store	Costco	Sam's Club	IKEA	MUJI	MANNER COFFEE
昆明	1			1	8	4
贵阳					3	5
珠海			1		2	3
海口					2	16
长沙	1		2	1	7	18
南宁	1		1	1	3	4
厦门	1		1		7	34
三亚					1	1
成都	2		3	2	12	86
南京	3	1	2	1	10	121
惠州			1			6
福州	1		2	1	3	20
南平						
宁波	1	1	2		3	42
丽水						1
杭州	2	1	3	1	12	227
宁德						
中山			1		2	4
大理						
威海					1	
丽江						
无锡	1		2	1	4	29
苏州	1	1	4	1	6	46
烟台					3	5
青岛	1		1	1	7	13
合肥	1		1	1	7	27
漳州						
潮州						
汕头						2
南通			2		3	
金华						11
泰州					1	8
常州			1		4	24
重庆	3		2	1	6	41
泉州					3	3
绍兴			1		2	13
湖州						5
嘉兴			1		2	8
温州	1			1	4	18
绵阳						1
镇江						12
宜昌					1	
扬州			1		2	17
济南	1		1	1	6	12
岳阳						
芜湖					1	6
上海	8	2	7	3	52	837
北京	5		5	5	34	276
广州	2		3	1	7	82
深圳	3	1	5	3	18	259
武汉	1		4	1	9	74
西安	1			2	4	46
郑州	1			1	3	19
天津	3		1	1	4	17
大连	1		1	1	4	5
沈阳	2		1	1	4	6
哈尔滨					3	
南昌			1		3	11
太原					3	6
石家庄					3	11
兰州					1	7
长春					4	8
呼和浩特					3	1
银川					1	
西宁					1	
拉萨						
桂林						1
北海						
湛江						
黄山						
张家界						
洛阳						2
秦皇岛						2
徐州					3	5
连云港						
盐城					1	
六安						1
襄阳						
柳州						1
遵义						
赣州						
九江						
唐山					2	1
包头					1	
济宁						6
临沂						
潍坊						3
淄博					2	
鞍山						
保定					2	
廊坊						
佛山			1	1	2	14
东莞			1	1	2	10
茂名						
江门						
株洲						
湘潭						
常德						
宜宾					1	2
十堰						
