Country	Visa Policy
Thailand	免签（30天，2024年起中泰互免）
Indonesia	落地签/e-VOA（30天，IDR 500,000≈¥230）
Vietnam	电子签（90天多次入境）
Turkey	免签（2026年1月起，180天内累计≤90天）
Portugal	需申根签证
Malaysia	免签（30天，每180天累计≤90天，2025年7月起中马互免）
South Korea	需签证（济州岛免签30天；2026.3.30起有访韩记录者可获5年多次签，14城居民可申10年多次签）
Japan	需签证（通过旅行社代办；单次年收≥5万，多次≥10-50万）
Australia	需签证（600访客签，AUD 190，在线申请+录指纹）
Germany	需申根签证
United Kingdom	需签证（标准访客签£127，通过率约92%）
Spain	需申根签证
New Zealand	需签证（访客签NZD $441，在线申请）
United States	需签证（B1/B2 $185，DS-160+面签；10年签需EVUS）
Denmark	需申根签证
Austria	需申根签证
Canada	需签证（临时居民签证TRV）
Luxembourg	需申根签证
Netherlands	需申根签证
Sweden	需申根签证
Ireland	需签证（非申根，单独申请）
Italy	需申根签证
Singapore	免签（30天，2024年起中新互免）
Brazil	免签（30天，2026年5月11日起，试行至2026年12月31日）
Philippines	免签（14天，2026年1月16日起，限马尼拉/宿务机场入境，试行一年）
